bsf cx,[0x0]|660fbc0d00000000
bsf cx,[ebx]|660fbc0b
bsf cx,[esi]|660fbc0e
bsf cx,[edi]|660fbc0f
bsf cx,[ebp]|660fbc4d00
bsf cx,[esp]|660fbc0c24
bsf dx,ax|660fbcd0
bsf dx,bx|660fbcd3
bsf dx,cx|660fbcd1
bsf dx,dx|660fbcd2
bsf dx,si|660fbcd6
bsf dx,di|660fbcd7
bsf dx,sp|660fbcd4
bsf dx,[bx]|66670fbc17
bsf dx,[si]|66670fbc14
bsf dx,[di]|66670fbc15
bsf dx,bp|660fbcd5
bsf dx,[bp]|66670fbc5600
bsf dx,[0x0]|660fbc1500000000
bsf dx,[ebx]|660fbc13
bsf dx,[esi]|660fbc16
bsf dx,[edi]|660fbc17
bsf dx,[ebp]|660fbc5500
bsf dx,[esp]|660fbc1424
bsf si,ax|660fbcf0
